,0
0,0.5495068594561269
1,0.6337295410593844
2,0.7206445995922257
3,0.9200286265630271
4,0.9766342098142754
5,0.9598370153454772
6,0.8992623523211214
7,0.8211712041111019
8,0.7572261066661046
9,0.6865477761623809
10,0.5774813124318018
11,0.49670542307475546
12,0.5358006297663854
13,0.6139612635976732
14,0.6907718910728907
15,0.8699531645544901
16,0.8282327758197776
17,0.9245780258104631
18,0.8714085447098464
19,0.8303646863096805
20,0.7913397288175746
21,0.6795808881574116
22,0.6051984395353072
23,0.49848608756703827
24,0.4964992569457176
25,0.5726432806037124
26,0.7444178450050617
27,0.8831859757257
28,0.9344052779612694
29,0.9842822096233256
30,0.9129288759415665
31,0.8038608850544758
32,0.8254487694995104
33,0.6726063643698853
34,0.5776828970913054
35,0.5265368983682829
36,0.5770842517388398
37,0.6437935024694562
38,0.7441750271197504
39,0.8768895094292316
40,0.9267618596217533
41,0.9631631622272883
42,0.9126906395257895
43,0.8615431136462554
44,0.7585379341093902
45,0.6905580891612958
46,0.5713818493253028
47,0.5101321831229121
48,0.5364382176098915
49,0.6348000777738699
50,0.7601047966900781
51,0.8786732282345372
52,0.9527891880454039
53,1.008724349588151
54,0.9265938724055003
55,0.8471634079349902
56,0.8175686419007286
57,0.7374616470956719
58,0.5980857080834997
59,0.5516540415111436
