,0
0,0.2284369404454743
1,0.05024858666028047
2,0.08548076223695786
3,0.12071293781363526
4,0.43025112662606035
5,0.5322522916180829
6,0.5292225540440625
7,0.5261928164700421
8,0.8162060298054472
9,1.3710056832036834
10,1.391976396550847
11,2.304045630217828
12,2.842595510562811
13,2.7860404091810955
14,2.4974410733802337
15,2.1943999884765404
16,1.4835898898605135
17,0.6976855813741223
18,0.5334305228968688
19,0.5154204162068585
20,0.5187867912891034
21,0.5221531663713482
22,0.5019549158778781
23,0.5204699788302256
